,source_pid,des_pid,time,relationship,source,destination
0,5556,8304,2023-09-27 06:50:38.779,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
1,5556,1136,2023-09-27 06:50:38.779,access,C:\Windows\Explorer.EXE,C:\Windows\ImmersiveControlPanel\SystemSettings.exe
2,5556,7572,2023-09-27 06:50:38.779,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
3,5556,7160,2023-09-27 06:50:38.779,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
4,5556,6780,2023-09-27 06:50:38.779,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
5,5556,6100,2023-09-27 06:50:38.779,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
6,5556,8936,2023-09-27 06:50:38.779,access,C:\Windows\Explorer.EXE,C:\Windows\system32\ApplicationFrameHost.exe
7,5556,5556,2023-09-27 06:50:38.795,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search
8,5556,5556,2023-09-27 06:50:38.795,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search\TraySearchBoxVisible
9,5556,5556,2023-09-27 06:50:38.795,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search
10,5556,5556,2023-09-27 06:50:38.795,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search\TraySearchBoxVisibleOnAnyMonitor
11,900,5556,2023-09-27 06:50:40.076,access,C:\Windows\system32\svchost.exe,C:\Windows\Explorer.EXE
12,5556,5556,2023-09-27 06:50:40.076,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\Zvpebfbsg.NhgbTrarengrq.{4NO0R8Q6-94N9-84ON-O051-SR8Q294OQ68P}
13,5556,5556,2023-09-27 06:50:40.076,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\HRZR_PGYFRFFVBA
14,5556,8304,2023-09-27 06:50:40.076,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
15,5556,1136,2023-09-27 06:50:40.076,access,C:\Windows\Explorer.EXE,C:\Windows\ImmersiveControlPanel\SystemSettings.exe
16,5556,7572,2023-09-27 06:50:40.076,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
17,5556,7160,2023-09-27 06:50:40.076,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
18,5556,6780,2023-09-27 06:50:40.076,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
19,5556,6100,2023-09-27 06:50:40.076,access,C:\Windows\Explorer.EXE,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
20,5556,8936,2023-09-27 06:50:40.076,access,C:\Windows\Explorer.EXE,C:\Windows\system32\ApplicationFrameHost.exe
21,4848,4848,2023-09-27 06:50:40.076,reg_create_del,C:\Windows\system32\ctfmon.exe,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Input\TypingInsights
22,4848,4848,2023-09-27 06:50:40.076,reg_set_value,C:\Windows\system32\ctfmon.exe,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Input\TypingInsights\Insights
23,8304,8304,2023-09-27 06:50:40.076,reg_create_del,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe,\REGISTRY\A\{b2b0c5ff-946b-2a53-e466-583ec3509288}\LocalState
