Frequency,Pattern
25,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control"
24,"c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*"
21,"hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*"
21,"hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*"
21,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*"
21,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
21,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer"
21,"hklm\system\currentcontrolset\control\servicefilterauditthrottlemode,hklm\system\currentcontrolset\control\"
21,"hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize"
21,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*"
21,"hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
21,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*"
21,"hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe"
20,"hklm\system\currentcontrolset\control\graphicsdrivers,hklm\system\currentcontrolset\control\graphicsdrivers\*,hklm\system\currentcontrolset\control\"
20,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditthrottlemode"
20,"hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer,hklm\system\currentcontrolset\control\servicefilterauditstackcachesize"
20,"hklm\system\currentcontrolset\control\servicefilterauditstackcachesize,hklm\software\microsoft\sqmclient\windows\*"
19,"hklm\system\currentcontrolset\control\,hklm\system\currentcontrolset\control,hklm\system\currentcontrolset\control\servicefilterauditcapturewer"
19,"hklm\software\microsoft\sqmclient\windows\*,hklm\software\policies\microsoft\sqmclient\*,hklm\software\microsoft\sqmclient\windows"
19,"c:\windows\fonts,hklm\software\policies\microsoft\windows\*,hklm\system\wpa\tabletpc"
19,"hklm\system\currentcontrolset\control\power\*,c:\windows\system32\csrss.exe,hklm\system\currentcontrolset\services\bam\*"
18,"hklm\system\wpa\tabletpc,hklm\system\wpa\mediacenter,hklm\software\microsoft\windows\currentversion\*,hklm\system\currentcontrolset\control\power,hklm\system\currentcontrolset\control\power\*"
